,track_id,track_name,release_date,length,track_popularity,album_id,album_name,artist_name,acousticness,danceability,energy,instrumentalness,liveness,speechiness,loudness,mode,tempo,time_signature
52,5drW6PGRxkE6MxttzVLNk5,Secukupnya,2019-11-29,205466,73,1DAuVHMlBvIjzWZALSUXbn,Menari Dengan Bayangan,Hindia,0.19,0.731,0.796,0.0606,0.354,0.0344,-5.098,0,102.006,4
53,3CBxVM0zGj41BQtE6m7gwb,Membasuh,2019-11-29,373824,67,1DAuVHMlBvIjzWZALSUXbn,Menari Dengan Bayangan,Hindia,0.928,0.342,0.196,0.0317,0.158,0.0461,-12.149,1,187.224,4
54,7J0isBrUxhIYZVdrBOOlIh,Cincin,2023-07-07,266330,74,2kgo1jbmAmaANgE8EaIrKX,Lagipula Hidup Akan Berakhir,Hindia,0.00445,0.531,0.882,0.0,0.621,0.0559,-4.205,0,155.024,4
55,2SmKwCCSiUTjtR8I8rv6MS,"Berdansalah, Karir Ini Tak Ada Artinya",2023-07-21,224418,63,0DMdiWcqnutCi81EqBXkF8,Lagipula Hidup Akan Berakhir,Hindia,0.00364,0.672,0.822,0.0,0.528,0.0421,-5.901,1,124.924,4
56,1bcIiU5FWRa2IYBqx0bk67,Evakuasi,2019-11-29,208000,65,1DAuVHMlBvIjzWZALSUXbn,Menari Dengan Bayangan,Hindia,0.398,0.67,0.463,0.00353,0.174,0.0453,-8.004,0,84.987,4
57,2LQZ32XuFlkcoEUDSG6BMT,Untuk Apa / Untuk Apa?,2019-11-29,378513,60,1DAuVHMlBvIjzWZALSUXbn,Menari Dengan Bayangan,Hindia,0.3,0.728,0.8,0.000446,0.287,0.0775,-8.102,0,109.948,4
58,3kj14iUwv0rvTweOr9P2ut,Mata Air,2019-11-29,226686,64,1DAuVHMlBvIjzWZALSUXbn,Menari Dengan Bayangan,Hindia,0.0108,0.68,0.931,0.00159,0.0524,0.0671,-5.163,1,107.995,4
59,3QZgiXw3VyeSfFnhY7zpj1,Bayangkan Jika Kita Tidak Menyerah,2023-07-21,193761,60,0DMdiWcqnutCi81EqBXkF8,Lagipula Hidup Akan Berakhir,Hindia,0.381,0.7,0.898,0.0198,0.147,0.0593,-6.482,1,143.984,4
60,0uOpOhrVFlRDRU8KFEJGMD,Stan,2021-05-21,148000,56,0WwSZ5tq7ytJq0N4GHrC8U,Old Songs But It's Lofi Fruits Remix,Lofi Fruits Music,0.964,0.725,0.369,0.919,0.237,0.0317,-16.427,0,114.376,4
61,2JjwQsLvMknwKhMRbdC7Mb,7 Years,2021-06-09,114000,50,35DIb6j45YmbHAfyN7HgaG,Lofi Fruits Music 2021,Lofi Fruits Music,0.751,0.604,0.204,0.867,0.0976,0.0299,-17.793,0,114.002,4
62,1zrP8IY1FZEqFJpYLCGOls,I'm Yours,2021-06-09,119750,55,35DIb6j45YmbHAfyN7HgaG,Lofi Fruits Music 2021,Lofi Fruits Music,0.827,0.596,0.155,0.898,0.122,0.0688,-15.137,1,80.341,4
63,1drKDEF3DErmbZiFjGcQXL,Lofi Fruits,2022-10-21,136028,25,4NcS3ZaKKGKXWmb5e8Vlg4,Chill Music,Lounge Ibiza Cafè,0.542,0.768,0.44,0.18,0.0955,0.328,-9.334,1,179.97,4
64,4PbuT4i3dyrZphqbQ0YJyS,Night Trouble,2021-03-12,147069,52,3uSl61EQYoigfd03keOBTA,Night Trouble,Lofi Fruits Music,0.941,0.39,0.039,0.903,0.0949,0.0302,-28.785,1,75.034,4
65,39dqFqKQ8gkXUQORH1gcHk,On The Road,2023-10-09,115654,9,7aAcs7w1vCsugitP9BvrM4,Best of Lofi Fruits Music,Lofi Fruits Music,0.949,0.697,0.209,0.947,0.12,0.0515,-16.685,0,87.306,4
66,4sl42P9vyXBZRF0z2Tjfah,After Midnight,2022-06-03,109624,50,2GMizsQeKeilPBjUjrfqhI,Midnight Rain,Lofi Fruits Music,0.988,0.444,0.0606,0.913,0.0753,0.0445,-24.539,1,140.0,4
67,3f9pG5Tqk47vAroNUCD9lN,Lofi Fruits Music,2021-11-13,262514,1,6bo0KpAA3J7KlGq1VJXCZV,Cozy Lofi Hip-hop Radio 24/7 (chill beats to study/journal/relax to),Sad Music,0.493,0.704,0.319,0.867,0.132,0.046,-15.308,0,146.219,4
68,2aLmZdasaFf9F3AIM2kM2a,Gangsta's Paradise,2021-06-11,115200,56,57zRoz9T2xrvfI84zBOYCU,90s Oldschool Lofi Hip Hop,Lofi Fruits Music,0.497,0.644,0.381,0.898,0.11,0.0333,-7.425,0,150.029,4
69,2E1mPDk01Tzco4B2La2C46,3 AM. Gaming,2021-06-09,124682,32,35DIb6j45YmbHAfyN7HgaG,Lofi Fruits Music 2021,Lofi Fruits Music,0.651,0.606,0.328,0.744,0.0894,0.03,-14.234,1,126.03,4
70,1MdjZzEInrmDBXf8zs0nKS,Dan...,1999-07-14,288706,70,1hrJXgaVEGovpLl9dFdqz7,Sheila On 7,Sheila On 7,0.156,0.658,0.539,0.0106,0.106,0.026,-12.051,1,125.041,4
71,5fsiRsoOxC3KwaqDfAfwHI,Hurts To Be Alone,2019-06-13,273304,3,6TQFQa2n7oAnPEX3Et1aOY,Losing My Shadow,Aan,0.549,0.663,0.363,0.00188,0.364,0.0324,-11.958,1,117.948,4
72,71mfW0mSuKr9yLB1RgmK85,Sheila,2021-09-17,138113,45,0b4ugtwcvDuH0eCAAaEKfC,Trophy Mountain,Little Symphony,0.789,0.0998,0.938,0.96,0.262,0.718,-30.706,0,51.862,4
73,1BaGfrlIWinaF77p7QASBH,Seberapa Pantas,2002-03-26,241293,69,59MdGM9vovHOEqp40fpthI,07 Des,Sheila On 7,0.065,0.425,0.889,0.0,0.345,0.0802,-5.7,1,162.596,4
74,0XAi3DsAw1zDuugmo3VENh,Seberapa Pantas,2014-06-16,238153,41,13d8BoPEw6XrPpwI7GKQI3,Anugerah Terindah dari Sheila On 7,Various Artists,0.353,0.619,0.572,0.000774,0.262,0.041,-6.905,1,161.024,4
75,1nfOP7xNHeFSPOlziXswJc,Hari Bersamanya,2011-03-15,232706,68,2yDNCNEbfaE2GnCSkY7yba,Berlayar,Sheila On 7,0.312,0.63,0.68,0.0,0.194,0.0294,-4.556,1,119.984,4
76,4cgydAOiuRSgrQf4QRgsPJ,Celengan Rindu,2023-12-29,195581,40,34WP6IPobHqWFukpagptEJ,Terbaru,Feby Putri,0.919,0.738,0.147,0.0,0.122,0.144,-14.307,1,120.414,4
77,5Mzu8smN6fRBCaUaTytD1W,Sheila,1962-01-01,127066,45,24v9C4Fe2Ik7jcldSXWwbk,Sheila,Tommy Roe,0.275,0.422,0.575,0.0,0.062,0.107,-8.993,1,135.63,4
78,7Hun5YHQ5TEe9j97cU5XPg,Melompat Lebih Tinggi,2003-12-05,198133,65,66ggR3LdVt8pjIaOeL7kNB,OST. 30 Hari Mencari Cinta,Sheila On 7,0.00269,0.534,0.852,0.0,0.206,0.083,-6.735,1,171.961,4
79,5gkTGkjFB5wAd3mSBEcQPY,Sephia,2000-10-04,295520,62,4bPUtZdWsvU1eTPmJFuvwm,Kisah Klasik Untuk Masa Depan,Sheila On 7,0.371,0.396,0.527,0.000306,0.166,0.0435,-8.658,1,185.807,4
80,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,2008-05-26,242373,87,1CEODgTmTwLyabvwd7HBty,Viva La Vida or Death and All His Friends,Coldplay,0.0954,0.486,0.617,3.23e-06,0.109,0.0287,-7.115,0,138.015,4
81,0BCPKOYdS2jbQ8iyB56Zns,Clocks,2002-08-08,307879,82,0RHX9XECH8IVI3LNgWDpmQ,A Rush of Blood to the Head,Coldplay,0.599,0.577,0.749,0.0115,0.183,0.0279,-7.215,0,130.97,4
82,0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,2014-05-19,267866,85,2G4AUqfwxcV1UdQjm2ouYr,Ghost Stories,Coldplay,0.00617,0.545,0.675,0.00197,0.209,0.0279,-6.474,1,124.97,4
83,7D0RhFcb3CrfPuTJ0obrod,Sparks,2000-07-10,227093,87,6ZG5lRT77aJ3btmArcykra,Parachutes,Coldplay,0.748,0.371,0.268,0.0517,0.104,0.0281,-10.506,1,102.617,3
84,6nek1Nin9q48AVZcWs9e9D,Paradise,2011-10-24,278719,83,2R7iJz5uaHjLEVnMkloO18,Mylo Xyloto,Coldplay,0.0509,0.449,0.585,8.75e-05,0.0833,0.0268,-6.761,1,139.631,4
85,3AJwUDP919kvQ9QcozQPxg,Yellow,2000-07-10,266773,89,6ZG5lRT77aJ3btmArcykra,Parachutes,Coldplay,0.00239,0.429,0.661,0.000121,0.234,0.0281,-7.227,1,173.372,4
